activities,decision_nodes,strategy,spl,time,memory
11,21,Feature-family-based,BSN,152,138.078125
11,21,Feature-family-based,BSN,158,141.0703125
11,21,Feature-family-based,BSN,153,137.32421875
11,21,Feature-product-based,BSN,1189,321.16796875
11,21,Feature-product-based,BSN,1226,321.30859375
11,21,Feature-product-based,BSN,1232,314.3515625
11,21,Product-based,BSN,7202,609.046875
11,21,Product-based,BSN,7201,617.03515625
11,21,Product-based,BSN,8465,609.4765625
11,21,Family-based,BSN,23272,395.265625
11,21,Family-based,BSN,23398,383.7734375
11,21,Family-based,BSN,23845,388.765625
11,21,Family-product-based,BSN,24260,540.9375
11,21,Family-product-based,BSN,25552,575.87890625
11,21,Family-product-based,BSN,20028,615.62890625
12,22,Feature-family-based,Lift,110,126.4453125
12,22,Feature-family-based,Lift,110,129.88671875
12,22,Feature-family-based,Lift,113,131.51171875
12,22,Feature-product-based,Lift,1275,371.2734375
12,22,Feature-product-based,Lift,1449,366.72265625
12,22,Feature-product-based,Lift,1474,371.046875
12,22,Product-based,Lift,13352,616.21484375
12,22,Product-based,Lift,14606,623.32421875
12,22,Product-based,Lift,13440,620.21875
12,22,Family-based,Lift,722,133.48046875
12,22,Family-based,Lift,655,141.234375
12,22,Family-based,Lift,680,133.19140625
12,22,Family-product-based,Lift,1898,360.35546875
12,22,Family-product-based,Lift,1773,321.765625
12,22,Family-product-based,Lift,2319,365.63671875
12,21,Feature-family-based,Email2,119,138.84765625
12,21,Feature-family-based,Email2,110,137.60546875
12,21,Feature-family-based,Email2,109,146.45703125
12,21,Feature-product-based,Email2,374,197.94921875
12,21,Feature-product-based,Email2,344,171.58984375
12,21,Feature-product-based,Email2,354,167.6640625
12,21,Product-based,Email2,1333,181.390625
12,21,Product-based,Email2,2066,206.88671875
12,21,Product-based,Email2,1253,177.609375
12,21,Family-based,Email2,748,164.16796875
12,21,Family-based,Email2,560,169.72265625
12,21,Family-based,Email2,627,143.0625
12,21,Family-product-based,Email2,490,194.6015625
12,21,Family-product-based,Email2,576,167.93359375
12,21,Family-product-based,Email2,520,191.828125
11,22,Feature-family-based,Email,129,167.70703125
11,22,Feature-family-based,Email,111,160.35546875
11,22,Feature-family-based,Email,109,134.93359375
11,22,Feature-product-based,Email,379,173.625
11,22,Feature-product-based,Email,318,173.328125
11,22,Feature-product-based,Email,350,173.57421875
11,22,Product-based,Email,1238,183.35546875
11,22,Product-based,Email,1213,182.45703125
11,22,Product-based,Email,1257,178.40234375
11,22,Family-based,Email,555,163.69140625
11,22,Family-based,Email,583,169.046875
11,22,Family-based,Email,563,139.49609375
11,22,Family-product-based,Email,494,169.37890625
11,22,Family-product-based,Email,473,194.71875
11,22,Family-product-based,Email,491,164.5234375
